Cp1252,,,,
"RichTextArea",1,"Content that you pasted into this page contained errors. The invalid text has been removed--check your entries and resubmit.","Inhoud die u op deze pagina hebt geplakt, bevatte fouten. De ongeldige tekst is verwijderd--controleer wat u hebt ingevuld en dien opnieuw in.",""
"RichTextAreaScript",a001,"Bold","Vetgedrukt",""
"RichTextAreaScript",a002,"Italic","Cursief",""
"RichTextAreaScript",a003,"Underline","Onderstrepen",""
"RichTextAreaScript",a004,"Ordered List","Bestelde lijst",""
"RichTextAreaScript",a005,"Bulleted List","Puntsgewijze lijst",""
"RichTextAreaScript",a006,"Font Color","Letterkleur",""
"RichTextAreaScript",a007,"Background Color","Achtergrondkleur",""
"RichTextAreaScript",a008,"size","grootte",""
"RichTextAreaScript",a009,"OK","OK",""
"RichTextAreaScript",a010,"Click a color","Klik op een kleur",""
"RichTextAreaScript",a011,"Sample","Voorbeeld",""
"RichTextAreaScript",a012,"Color","Kleur",""
"RichTextAreaScript",a013,"Close","Sluiten",""
"RichTextAreaScript",a014,"Maximize/Minimize Editor","Editor maximaliseren/minimaliseren",""
"RichTextAreaScript",a015,"font","lettertype",""
"RichTextAreaScript",a016,"Arial","Arial",""
"RichTextAreaScript",a017,"Courier New","Courier New",""
"RichTextAreaScript",a018,"Georgia","Georgia",""
"RichTextAreaScript",a019,"Tahoma","Tahoma",""
"RichTextAreaScript",a020,"Times New Roman","Times New Roman",""
"RichTextAreaScript",a021,"Verdana","Verdana",""
"RichTextAreaScript",a022,"Impact","Impact",""
"RichTextAreaScript",a023,"WingDings","WingDings",""
"RichTextAreaScript",a024,"MS UI Gothic","MS UI Gothic",""
"RichTextAreaScript",a025,"Remove formatting","Opmaak verwijderen",""
"RichTextAreaScript",a026,"Are you sure you want to remove all formatting?","Weet u zeker dat u alle opmaak configureren?",""
